鲁迅	中国	黑暗只能附丽于渐就灭亡的事物，一灭亡，黑暗也就一同灭亡了，它不永久。	《记谈话》（1926年）
鲁迅	中国	生了孩子，还要想怎样教育，才能使这生下来的孩子，将来成一个完全的人。	《随感录二十五》（1918年）
鲁迅	中国	修辞也有一点秘诀：一要蒙胧，二要难懂。那方法，是：缩短句子，多用难字。	《作文秘诀》（1933年）中对古文的讽刺
鲁迅	中国	我之所谓生存，并不是苟活；所谓温饱，并不是奢侈；所谓发展，也不是放纵。	《北京通信》（1925年）
鲁迅	中国	道德这事，必须普遍，人人应做，人人能行，又于自他两利，才有存在的价值。	《我之节烈观》（1918年）
鲁迅	中国	苟活者在淡红的血色中，会依稀看见微茫的希望；真的猛士，将更奋然而前行。	《记念刘和珍君》（1926年）
鲁迅	中国	自称盗贼的无须防，得其反倒是好人；自称正人君子的必须防，得其反则是盗贼。	《小杂感》（1927年）
鲁迅	中国	我做完之后，总要看两遍，自己觉得拗口的，就增删几个字，一定要它读得顺口。	《我怎么做起小说来？》（1933年）
鲁迅	中国	火能烧死人，水也能淹死人，但水的模样柔和，好像容易亲近，因而也容易上当。	《水性》（1934年）
鲁迅	中国	与其找胡涂导师，倒不如自己走，可以省却寻觅的工夫，横竖他也什么都不知道。	《田园思想（通讯）》（1925年）
鲁迅	中国	我们看历史，能够据过去以推知未来，看一个人的已往的经历，也有一样的效用。	《答KS君》（1925年）
史铁生	中国	我的职业是生病，业余写点东西。	
史铁生	中国	且视他人之凝目如盏盏鬼火，大胆地去走你的夜路。	
史铁生	中国	我等你，直到垂暮之年，野草有了一百代子孙，那条长椅上依然空留着一个位置……	
史铁生	中国	死是一件无须乎着急去做的事，是一件无论怎样耽搁也不会错过了的事，一个必然会降临的节日。	
史铁生	中国	人不是苟死苟活的物类，不是以过程的漫长为自豪，而是以过程的精彩、尊贵和独具爱愿为骄傲的。	
史铁生	中国	梦想使你迷醉，距离就成了欢乐；追求使你充实，失败和成功都是伴奏；当生命以美的形式证明其价值的时候，幸福是享受，痛苦也是享受。	
余华	中国	人类无法忍受太多的真实。	
余华	中国	人只要活得高兴，穷也不怕。	
余华	中国	一个人命再大，要是自己想死，那就怎么也活不了。	
余华	中国	人啊，活着时受了再多的苦，到了快死的时候也会想个法子来宽慰自己。	
余华	中国	没有什么比时间更具有说服力了，因为时间无需通知我们就可以改变一切。	
余华	中国	无论多么美好的体验都会成为过去，无论多么深切的悲哀也会落在昨天，一如时光的流逝毫不留情。	
余华	中国	我们走在寂静里，这个寂静的名字叫死亡。我们不再说话，那是因为我们的记忆不再前行。这是隔世记忆，斑驳陆离，虚无又真实。	
余华	中国	如果你的世界，没有痛苦的害怕，没有尊严的担忧，没有富贵的贫贱，没有暖寒的交替，没有外貌的困扰，没有男女的区别，没有你我之分，没有生死顾虑，你才会离「真正的活着」越来越近。	
司馬遷	中国	士為知己者用，女為說己者容。	
司馬遷	中国	究天人之際，通古今之變，成一家之言。	出自《報任少卿書》
司馬遷	中国	人固有一死，死或重於泰山，或輕於鴻毛。	出自《報任少卿書》
